sender,receiver,usd
Algeria,United Kingdom,1000000
Andorra,United Kingdom,
Antigua and Barbuda,United Kingdom,
Argentina,United Kingdom,3000000
Aruba,United Kingdom,
Australia,United Kingdom,1084000000
Austria,United Kingdom,9000000
Bahamas,United Kingdom,1000000
Bahrain,United Kingdom,3000000
Bangladesh,United Kingdom,28000000
Barbados,United Kingdom,3000000
Belarus,United Kingdom,
Belgium,United Kingdom,45000000
Belize,United Kingdom,
Bermuda,United Kingdom,3000000
Bhutan,United Kingdom,
Bolivia,United Kingdom,
Bosnia-Herzegovina,United Kingdom,
Botswana,United Kingdom,6000000
Brazil,United Kingdom,4000000
Brunei,United Kingdom,4000000
Bulgaria,United Kingdom,3000000
Cambodia,United Kingdom,
Cameroon,United Kingdom,
Canada,United Kingdom,569000000
Cape Verde,United Kingdom,
Cayman Islands,United Kingdom,2000000
Central African Republic,United Kingdom,
Channel Islands,United Kingdom,63000000
Chile,United Kingdom,9000000
China,United Kingdom,11000000
Colombia,United Kingdom,1000000
Costa Rica,United Kingdom,
Croatia,United Kingdom,
Cuba,United Kingdom,
Curacao,United Kingdom,
Cyprus,United Kingdom,36000000
Czech Republic,United Kingdom,8000000
Denmark,United Kingdom,15000000
Dominica,United Kingdom,
Dominican Republic,United Kingdom,
Ecuador,United Kingdom,3000000
Egypt,United Kingdom,2000000
El Salvador,United Kingdom,
Eritrea,United Kingdom,
Estonia,United Kingdom,
Faeroe Islands,United Kingdom,
Fiji,United Kingdom,1000000
Finland,United Kingdom,5000000
France,United Kingdom,
French Polynesia,United Kingdom,
Germany,United Kingdom,109000000
Ghana,United Kingdom,2000000
Greece,United Kingdom,7000000
Guatemala,United Kingdom,
Guyana,United Kingdom,
Honduras,United Kingdom,
Hong Kong,United Kingdom,15000000
Hungary,United Kingdom,5000000
Iceland,United Kingdom,1000000
India*,United Kingdom,4000000
Indonesia,United Kingdom,23000000
Ireland,United Kingdom,243000000
Isle of Man,United Kingdom,34000000
Israel*,United Kingdom,19000000
Italy,United Kingdom,61000000
Jamaica,United Kingdom,6000000
Japan,United Kingdom,18000000
Jordan,United Kingdom,
Kenya,United Kingdom,6000000
Kiribati,United Kingdom,
Kuwait,United Kingdom,8000000
Latvia,United Kingdom,
Lebanon*,United Kingdom,
Liberia,United Kingdom,
Libya,United Kingdom,6000000
Liechtenstein,United Kingdom,
Lithuania,United Kingdom,2000000
Luxembourg,United Kingdom,5000000
Madagascar,United Kingdom,
Malawi,United Kingdom,1000000
Malaysia,United Kingdom,7000000
Maldives,United Kingdom,
Malta,United Kingdom,10000000
Mauritius,United Kingdom,1000000
Mexico,United Kingdom,3000000
Moldova,United Kingdom,
Monaco,United Kingdom,2000000
Mongolia,United Kingdom,
Netherlands,United Kingdom,42000000
New Zealand,United Kingdom,215000000
Nicaragua,United Kingdom,
North Korea,United Kingdom,
Norway,United Kingdom,17000000
Oman,United Kingdom,5000000
Panama,United Kingdom,1000000
Papua New Guinea,United Kingdom,
Paraguay,United Kingdom,
Peru,United Kingdom,2000000
Philippines,United Kingdom,4000000
Poland,United Kingdom,31000000
Portugal,United Kingdom,16000000
Puerto Rico,United Kingdom,
Qatar,United Kingdom,6000000
Romania,United Kingdom,3000000
Russia,United Kingdom,1000000
Rwanda,United Kingdom,
Samoa,United Kingdom,
San Marino,United Kingdom,
Saudi Arabia,United Kingdom,27000000
Serbia,United Kingdom,
Seychelles,United Kingdom,
