Receiver,Sender,USD,Migrants From,Migrants To,Migrants
Afghanistan,Argentina,697.7096437,Afghanistan,Argentina,9
Afghanistan,Australia,3176206.857,Afghanistan,Australia,60879
Afghanistan,Austria,978769.5607,Afghanistan,Austria,47602
Afghanistan,Azerbaijan,0,Afghanistan,Azerbaijan,176
Afghanistan,Bahrain,69635.52998,Afghanistan,Bahrain,860
Afghanistan,Belarus,19938.62013,Afghanistan,Belarus,277
Afghanistan,Belgium,429584.3754,Afghanistan,Belgium,24670
Afghanistan,Brazil,4082.245842,Afghanistan,Brazil,73
Afghanistan,Bulgaria,24128.77419,Afghanistan,Bulgaria,426
Afghanistan,Canada,4575566.238,Afghanistan,Canada,55954
Afghanistan,Costa Rica,646.7993508,Afghanistan,Costa Rica,4
Afghanistan,Cyprus,1033.265067,Afghanistan,Cyprus,6
Afghanistan,Denmark,1402866.694,Afghanistan,Denmark,13715
Afghanistan,Ecuador,5263.044252,Afghanistan,Ecuador,167
Afghanistan,Egypt,8481.36751,Afghanistan,Egypt,210
Afghanistan,Estonia,1087.938571,Afghanistan,Estonia,65
Afghanistan,Finland,358373.6556,Afghanistan,Finland,7019
Afghanistan,France,464708.6522,Afghanistan,France,35348
Afghanistan,Georgia,0,Afghanistan,Georgia,40
Afghanistan,Germany,14956756.58,Afghanistan,Germany,250444
Afghanistan,Greece,27180.4075,Afghanistan,Greece,45293
Afghanistan,Guinea,0,Afghanistan,Guinea,1
Afghanistan,Hungary,73054.89162,Afghanistan,Hungary,1816
Afghanistan,Iceland,1192.970834,Afghanistan,Iceland,108
Afghanistan,India,457973.2161,Afghanistan,India,16094
Afghanistan,Iraq,18615.92043,Afghanistan,Iraq,314
Afghanistan,Ireland,61603.50218,Afghanistan,Ireland,168
Afghanistan,Israel,262257.4877,Afghanistan,Israel,2464
Afghanistan,Italy,410678.4311,Afghanistan,Italy,18689
Afghanistan,Jordan,3324.481637,Afghanistan,Jordan,61
Afghanistan,Kuwait,280559.8916,Afghanistan,Kuwait,2896
Afghanistan,Latvia,2692.815465,Afghanistan,Latvia,46
Afghanistan,Libya,22760.87028,Afghanistan,Libya,340
Afghanistan,Liechtenstein,0,Afghanistan,Liechtenstein,6
Afghanistan,Lithuania,1448.890181,Afghanistan,Lithuania,41
Afghanistan,Luxembourg,0,Afghanistan,Luxembourg,433
Afghanistan,Malaysia,0,Afghanistan,Malaysia,2478
Afghanistan,Mali,0,Afghanistan,Mali,553
Afghanistan,Namibia,0,Afghanistan,Namibia,44
Afghanistan,Netherlands,3924157.589,Afghanistan,Netherlands,36418
Afghanistan,New Zealand,249537.992,Afghanistan,New Zealand,3827
Afghanistan,Nicaragua,1704.198218,Afghanistan,Nicaragua,62
Afghanistan,Norway,1652222.282,Afghanistan,Norway,17242
Afghanistan,Pakistan,124857770.4,Afghanistan,Pakistan,1598223
Afghanistan,Philippines,75173.71135,Afghanistan,Philippines,1297
Afghanistan,Poland,13343.61682,Afghanistan,Poland,184
Afghanistan,Qatar,298371.5699,Afghanistan,Qatar,1599
Afghanistan,Romania,742.6766589,Afghanistan,Romania,44
Afghanistan,Russian Federation,404295.2613,Afghanistan,Russian Federation,5090
Afghanistan,Saudi Arabia,61483740.26,Afghanistan,Saudi Arabia,481215
Afghanistan,Slovakia,12415.3835,Afghanistan,Slovakia,194
Afghanistan,Slovenia,1332.032608,Afghanistan,Slovenia,36
Afghanistan,South Africa,3226.413609,Afghanistan,South Africa,111
Afghanistan,Spain,0,Afghanistan,Spain,615
Afghanistan,Sri Lanka,0,Afghanistan,Sri Lanka,132
Afghanistan,Sweden,2928328.756,Afghanistan,Sweden,53306
Afghanistan,Switzerland,598054.3358,Afghanistan,Switzerland,15036
Afghanistan,Syrian Arab Republic,100313.1722,Afghanistan,Syrian Arab Republic,1143
Afghanistan,Tajikistan,375239.1928,Afghanistan,Tajikistan,12433
Afghanistan,Thailand,72.36565841,Afghanistan,Thailand,1
Afghanistan,Turkey,1343611.955,Afghanistan,Turkey,117595
Afghanistan,Turkmenistan,0,Afghanistan,Turkmenistan,198
Afghanistan,Ukraine,65507.28632,Afghanistan,Ukraine,4891
Afghanistan,United Arab Emirates,1042605.295,Afghanistan,United Arab Emirates,8191
Afghanistan,United Kingdom,6586849.491,Afghanistan,United Kingdom,51376
Albania,Argentina,78158.95663,Albania,Argentina,66
Albania,Australia,3524217.896,Albania,Australia,3941
Albania,Austria,3583640.154,Albania,Austria,4398
Albania,Belgium,6776788.521,Albania,Belgium,11937
Albania,Bolivia (Plurinational State of),0,Albania,Bolivia (Plurinational State of),1
Albania,Bulgaria,1209428.186,Albania,Bulgaria,1351
Albania,Canada,14408775.98,Albania,Canada,16544
Albania,Costa Rica,6924.389003,Albania,Costa Rica,4
Albania,Croatia,0,Albania,Croatia,160
Albania,Cuba,115301.9059,Albania,Cuba,
Albania,Cyprus,353852.7524,Albania,Cyprus,274
Albania,Denmark,365839.3573,Albania,Denmark,568
Albania,Ecuador,100696.1234,Albania,Ecuador,73
Albania,Egypt,117795.4651,Albania,Egypt,119
Albania,Estonia,6415.336997,Albania,Estonia,41
Albania,Finland,268833.2109,Albania,Finland,706
Albania,France,7257485.865,Albania,France,8925
Albania,Georgia,0,Albania,Georgia,9
Albania,Germany,49094847.21,Albania,Germany,61063
Albania,Greece,608441825.9,Albania,Greece,446614
Albania,Guinea,0,Albania,Guinea,9
Albania,Hungary,216620.1657,Albania,Hungary,503
Albania,Iceland,45969.9076,Albania,Iceland,220
Albania,Ireland,926463.1141,Albania,Ireland,340
Albania,Italy,501520767.9,Albania,Italy,486187
Albania,Latvia,0,Albania,Latvia,12
Albania,Libya,292369.8976,Albania,Libya,320
Albania,Liechtenstein,0,Albania,Liechtenstein,2
Albania,Lithuania,16032.03988,Albania,Lithuania,28
Albania,Luxembourg,404250.5738,Albania,Luxembourg,1058
Albania,Mali,0,Albania,Mali,1482
Albania,Malta,116958.1998,Albania,Malta,229
Albania,Montenegro,19755221.95,Albania,Montenegro,2763
Albania,Netherlands,1176502.304,Albania,Netherlands,2402
Albania,Norway,918554.1224,Albania,Norway,2174
Albania,Philippines,112095.6845,Albania,Philippines,122
Albania,Poland,142796.1431,Albania,Poland,165
Albania,Portugal,55889.41239,Albania,Portugal,55
Albania,Romania,782377.4426,Albania,Romania,823
Albania,Russian Federation,235718.5003,Albania,Russian Federation,232
Albania,San Marino,39318.95576,Albania,San Marino,39
Albania,Serbia,450064.2492,Albania,Serbia,475
Albania,Slovakia,67686.10259,Albania,Slovakia,133
Albania,Slovenia,273888.3495,Albania,Slovenia,146
Albania,South Africa,80009.45149,Albania,South Africa,195
Albania,Spain,2136385.023,Albania,Spain,2615
Albania,Sweden,2129470.685,Albania,Sweden,5724
Albania,Switzerland,2423175.138,Albania,Switzerland,4323
Albania,Turkey,5113393.23,Albania,Turkey,4554
Albania,United States of America,101745508.9,Albania,United States of America,97252
Albania,Venezuela (Bolivarian Republic of),14990.2856,Albania,Venezuela (Bolivarian Republic of),17
Algeria,Argentina,224131.8466,Algeria,Argentina,103
Algeria,Australia,1658334.12,Algeria,Australia,1776
Algeria,Austria,1518300.316,Algeria,Austria,1581
Algeria,Belarus,0,Algeria,Belarus,51
Algeria,Belgium,29787235.7,Algeria,Belgium,27491
Algeria,Bolivia (Plurinational State of),2054.601003,Algeria,Bolivia (Plurinational State of),3
Algeria,Brazil,191457.1948,Algeria,Brazil,232
Algeria,Bulgaria,432129.8654,Algeria,Bulgaria,460
Algeria,Canada,44989058.49,Algeria,Canada,69587
Algeria,Costa Rica,12479.87059,Algeria,Costa Rica,14
Algeria,Croatia,0,Algeria,Croatia,50
Algeria,Cuba,52121.83915,Algeria,Cuba,8
Algeria,Cyprus,47452.64396,Algeria,Cyprus,34
Algeria,Denmark,1123726.02,Algeria,Denmark,1004
Algeria,Ecuador,72938.33562,Algeria,Ecuador,50
Algeria,Egypt,1518350.142,Algeria,Egypt,889
Algeria,Estonia,14535.08938,Algeria,Estonia,32
Algeria,Finland,963783.1287,Algeria,Finland,1014
Algeria,France,1713432225,Algeria,France,1637211
Algeria,French Polynesia,928863.824,Algeria,French Polynesia,681
Algeria,Gabon,111106.2756,Algeria,Gabon,108
Algeria,Georgia,0,Algeria,Georgia,16
Algeria,Germany,21277032.16,Algeria,Germany,25819
Algeria,Ghana,15409.50753,Algeria,Ghana,13
Algeria,Greece,502021.2946,Algeria,Greece,407
Algeria,Guinea,0,Algeria,Guinea,6766
Algeria,Hungary,820879.7775,Algeria,Hungary,929
Algeria,Iceland,36491.47168,Algeria,Iceland,68
Algeria,Ireland,1564169.392,Algeria,Ireland,673
Algeria,Israel,53740443.43,Algeria,Israel,44358
Algeria,Italy,28532351.85,Algeria,Italy,22363
Algeria,Jordan,308190.1505,Algeria,Jordan,345
Algeria,Latvia,18770.45676,Algeria,Latvia,18
Algeria,Libya,3668667.991,Algeria,Libya,3830
Algeria,Liechtenstein,0,Algeria,Liechtenstein,6
Algeria,Lithuania,13412.39923,Algeria,Lithuania,11
Algeria,Luxembourg,138916.6799,Algeria,Luxembourg,1113
Algeria,Mali,652335.8186,Algeria,Mali,553
Algeria,Malta,60899.45657,Algeria,Malta,155
Algeria,Mauritania,3600688.259,Algeria,Mauritania,1788
Algeria,Mexico,118241.9484,Algeria,Mexico,110
Algeria,Morocco,18118498.95,Algeria,Morocco,14497
Algeria,Namibia,0,Algeria,Namibia,505
Algeria,Netherlands,4888275.796,Algeria,Netherlands,4219
Algeria,New Caledonia,932306.0495,Algeria,New Caledonia,621
Algeria,Nicaragua,60610.7296,Algeria,Nicaragua,117
Algeria,Niger,487967.7383,Algeria,Niger,587
Algeria,Norway,1499692.906,Algeria,Norway,1283
Algeria,Peru,23627.91154,Algeria,Peru,33
Algeria,Philippines,477694.7333,Algeria,Philippines,490
Algeria,Poland,692228.8735,Algeria,Poland,766
Algeria,Portugal,269560.1915,Algeria,Portugal,261
